posted_date,author_name,likes,comments,reposts,total_engagement,summary,post_url
2026-09-16,Roland Busch,5319,175,89,5583,"Siemens CEO Roland Busch describes an on-stage moment with Jensen Huang and Benioff, announcing scaled agentic AI collaboration across industries with NVIDIA and Salesforce.",https://www.linkedin.com/posts/buschroland_df26-activity-7505888552329650176-sm-A
2026-09-16,NVIDIA,4165,230,270,4665,"NVIDIA recaps Jensen Huang's Dreamforce conversation with Marc Benioff on open models and agentic enterprise, noting Salesforce introduced Koa, its CRM reasoning model built on NVIDIA Nemotron.",https://www.linkedin.com/posts/nvidia_now-we-can-know-everything-and-do-anything-activity-7505754268881301504-93RH
2026-09-15,Salesforce,3552,67,492,4111,"Salesforce highlights Anthropic's Dreamforce demo showing Claude querying Salesforce data, building command centers, and sharing artifacts in Slack/Teams via 37+ pre-built Sales skills.",https://www.linkedin.com/posts/salesforce_salesforce-context-inside-claude-live-ugcPost-7505688964670853122-ypXz
2026-09-08,Salesforce,3740,61,171,3972,Salesforce's company page announces that Dreamforce is one week away.,https://www.linkedin.com/posts/salesforce_excited-to-announce-that-dreamforce-is-one-ugcPost-7503118189694926849-MDGx
2026-09-15,Salesforce,3711,46,189,3946,"Salesforce announces Jensen Huang joining the Dreamforce Main Keynote at 10 a.m. PT, streamed free on Salesforce+.",https://www.linkedin.com/posts/salesforce_nvidia-x-salesforce-have-been-cooking-jensen-activity-7505655273307648000-s0BG
2026-09-11,Salesforce,3218,87,229,3534,"Salesforce announces a Dreamforce conversation between Sam Altman and Marc Benioff on AI, ChatGPT, and the OpenAI-Salesforce partnership, streaming free on Salesforce+.",https://www.linkedin.com/posts/salesforce_only-at-dreamforce-sam-altman-x-marc-benioff-activity-7504235677832830976-mEKz
2026-09-10,Salesforce,2859,71,320,3250,"Salesforce promotes a Dreamforce session where Dario Amodei and Marc Benioff discuss the Claudeforce partnership between Anthropic and Salesforce, streamed live on Salesforce+.",https://www.linkedin.com/posts/salesforce_salesforce-anthropic-the-1-ai-meets-activity-7501732867732000768-O3ON
2026-09-08,Informatica,2804,36,59,2899,Informatica announces its debut appearance at Dreamforce as part of the Salesforce family.,https://www.linkedin.com/posts/informatica_were-excited-to-announce-our-dreamforce-activity-7503108027156365312-ieKS
2026-09-16,Pascal BORNET,1578,231,206,2015,"Pascal Bornet, describing himself as sponsored, says Benioff's Headless 360 announcement shifts value from interface ownership to underlying enterprise data, rules and context.",https://www.linkedin.com/posts/pascalbornet_sponsored-agenticai-enterpriseai-activity-7505981518390018048-jqQB
2026-09-09,Salesforce,1843,21,65,1929,"Salesforce announces actor Jeremy Renner will speak at Dreamforce about his recovery and his RennerVation Foundation supporting foster care and at-risk youth, streamed on Salesforce+.",https://www.linkedin.com/posts/salesforce_blockbuster-stardom-a-near-fatal-accident-activity-7503497558821015554-bFvi
2026-09-16,Salesforce,1730,27,169,1926,"Salesforce's company page promotes a 3-minute recap video of Marc Benioff's Dreamforce keynote branded 'Hey AI, meet the #1 CRM.'",https://www.linkedin.com/posts/salesforce_hey-ai-meet-the-1-crm-the-dreamforce-activity-7506033077421301760-ouls
2026-09-17,Pascal BORNET,1329,189,167,1685,"Pascal Bornet, in a sponsored post, recounts a Dreamforce conversation with Adam Forrest, Maurice Ashley and Sam Shankland comparing chess judgment to agentic AI decision-making in enterprises.",https://www.linkedin.com/posts/pascalbornet_sponsored-agenticai-hybridmanagement-activity-7506394430455586816-qDTq
