posted_date,author_name,author_headline,author_type,is_repost,likes,comments,reposts,total_engagement,summary,post_text,post_url
2026-09-08,Karan Seth,VP Strategic Sales and Alliances,person,yes,11,1,4,16,"Conversive's Karan Seth says the company skips a booth this year, inviting attendees to grab coffee and see live product demos instead.","Dreamforce is always a great excuse to catch up with old friends, meet new people, and have some good conversations.

No booth. No endless decks. Just real conversations, live experiences, and a chance to see what Conversive can actually do in action.

Would be great to see you, grab a coffee, and have a chat.

See you there!",https://www.linkedin.com/posts/activity-7502934115772436481-997g
2026-09-08,Alok Anibha,Co-Founder and Salesforce Practice Head @ Girikon Inc. | Co-Founder @ Girikon.AI | Product | Entrepreneur | Strategy,person,no,31,4,4,39,"Girikon's Alok Anibha launches a trivia contest about Dreamforce history, Agentforce and Girikon products, offering swag and inviting visits to Booth #520.","Not going to Dreamforce this year?

You can still get some pretty amazing Girikon swag. 👀

We're sponsoring Dreamforce again this year, and we thought we'd have a little fun with it.

Here's the game: comment your answers, repost this post, and you're in. Let's see who actually knows their stuff. 😄

1. What year did the very first Dreamforce happen?

2. Name ONE major Salesforce shift from the past year. (Hint: Claudeforce, Agentforce, Headless 360, Setup with Agentforce, Voice for Digital Channels, Agent Script.)

3. In one line — what does Girikon actually do with AI? We're genuinely curious how you'd describe us. No wrong answers.

4. Name ONE Girikon product: GirikVoice, GirikIQ, GirikCTI, or GirikSMS. Bonus points if you know what it does.

5. Bonus: what are you most excited to see at Dreamforce this year?

You don't need a ticket. You don't need to be in San Francisco. You just need to play along.

We'll pick our favorite answers after Dreamforce and send some Girikon swag your way. 🎁

And if you're actually coming to Dreamforce come find us at Booth #520. You can say hello in person too.
2nd Dreamforce as a Sponsor. Twice the Innovation. Twice the Energy.

Cheers!

(Repost for others ♻️)

P.S. Winners announced after Dreamforce. So you've got plenty of time to prove you know your Dreamforce stuff. 😉",https://www.linkedin.com/posts/alokanibha_not-going-to-dreamforce-this-year-you-can-activity-7502952151451664384-Fi4x
2026-09-08,Tricia Gellman,,person,no,26,1,1,28,"Tricia Gellman invites Dreamforce attendees to a free Box + AWS event at Thriller Social Club, September 15, 6-9pm, with drinks, games and prizes.","We know that Dreamforce is next week and yet do you have your social calendar planned? 
Why not join us at an amazing arcade and bar? What a great concept, to have some fun with your friends for free. Anyone can come. 

Join Box + AWS at Thriller Social Club for an evening of drinks, food, games, prizes, and great conversation with customers, partners, and friends from across the industry.

 Thriller Social Club | 508 4th Street (5 min walk from Moscone)
 Tuesday, September 15
 6:00–9:00 p.m. PDT

If you’ll be at Dreamforce, come unwind with us, connect with the Box + AWS team, and maybe even walk away with a prize.

 Register here: https://luma.com/wr9qnkd0

#Dreamforce2026 #Box #AWS #AI",https://www.linkedin.com/posts/gellmansfmarketing_dreamforce2026-box-aws-activity-7502965749687439363-ir2H
2026-09-08,Salesforce Admins,"173,898 followers",company,no,58,0,12,70,"Salesforce Admins page highlights the DF26 Admin Keynote (Sept 17, 10:30am PT), Sneak Peeks sessions, and the Admin Meadow in San Francisco, Sept 15-17.","Three things you can’t miss at #DF26 if you’re an #AwesomeAdmin:

 1️⃣ The Admin Keynote: Bring the Agentic Enterprise to Life
 2️⃣ Sneak Peeks: See what’s next for the Salesforce Platform and ask product experts your questions live
 3️⃣ The Admin Meadow: Admin-led sessions, practical guidance, and community

Join us in San Francisco September 15–17. The Admin Keynote happens Thursday, September 17, at 10:30 a.m. PT. First come, first seated!

🗓️ Add it to your agenda: https://sforce.co/4gCUjEF 
💻 Can’t join us in person? Watch on Salesforce+: https://sforce.co/4hXCuT1",https://www.linkedin.com/posts/salesforce-admins_admins-heres-what-you-cant-miss-at-dreamforce-ugcPost-7501323326162927616-Rxya
2026-09-08,Nagarro,"1,771,472 followers",company,no,113,2,21,136,Nagarro announces joining Salesforce's Forward Deployed Engineering Partner Network and invites attendees to meet its experts at Dreamforce Booth #511.,"We are proud to join the Salesforce Forward Deployed Engineering (FDE) Partner Network!

This important milestone strengthens our collaboration with Salesforce, accelerates our ability to help customers turn agentic vision into production-ready reality, and enables us to achieve measurable outcomes at scale.

Building your Agentic enterprise strategy? Meet our experts at Dreamforce (Booth #511).

#FluidicIntelligence #SalesforceFDEPartnerNetwork #Agentforce",https://www.linkedin.com/posts/nagarro_fluidicintelligence-salesforcefdepartnernetwork-activity-7502996021766086656-6e7R
2026-09-08,Francesca Brusco,Director of marketing | ex Salesforce | ex HP,person,yes,3,0,0,3,"Francesca Brusco cites Peter Chalmers on process visibility for AI agents, promoting Apromore's process mining and pointing to its Dreamforce 2026 session track.","We’re rushing to “agentify” operations, but most teams are stuck in a ""swivel chair"" process 🔄—manually copying data from screen to screen. 🖥️

The problem? AI agents cannot swivel. 🤖

They lack the tribal knowledge to navigate undocumented workarounds, and you can't automate what you don't understand. 👁️

As highlighted by Peter Chalmers: process visibility isn't just a prerequisite for AI—it is the conversation. 💡

The real key isn't a bigger model; it’s complete transparency. Apromore reveals how work actually runs across core enterprise systems and platforms.

Crucially, processes do not hold still. 🔁 They continuously evolve as new edge cases emerge, volume patterns shift, and human and AI agents interact. Process optimization can't be a one-time static business case—through continuous monitoring, Apromore tracks this ongoing evolution, delivering real, trackable ROI that updates as your processes change. 📈🤝

Skipping transparency doesn't solve operational debt—it just moves the swivel chair where leadership can't see it. 🫣

📌 At Dreamforce 2026? Explore the session track to see how Process Intelligence builds the foundation for scalable, agentic AI.
🔗 The full session lineup: https://lnkd.in/dcPmWYhn

#EnterpriseAI #ProcessIntelligence #ProcessMining #AIAgents #DigitalTransformation #Salesforce #Apromore #DF26",https://www.linkedin.com/posts/francesca-brusco_it-has-been-a-while-since-i-wrote-an-article-activity-7503027162023849984-7wLi
2026-09-08,ACCELQ,"22,102 followers",company,no,23,0,8,31,"ACCELQ promotes a Dreamforce Bingo card game tied to booth #502, framing spontaneous conversations and demos as game squares.","Dreamforce is full of moments you don't plan for.

A spontaneous conversation.
A great demo.
A new connection.
A very long coffee queue. ☕

We turned a few of those moments into a game.

Save your Dreamforce Bingo card and play along.

And while you're checking off the squares, make ACCELQ Booth #502 your next stop.

#Dreamforce #DF26 #ACCELQ",https://www.linkedin.com/posts/accelq_dreamforce-df26-accelq-activity-7503064684321898496-w26M
2026-09-08,Dreamforce,"112,502 followers",company,no,16,0,4,20,"Dreamforce company page cites Hubbl Technologies mapping Salesforce's 30,000+ metadata pieces in under two weeks, saving 300 hours, and promotes booking a DF26 readout.","Salesforce runs the largest org in the world, built over 26 years with 30,000+ pieces of metadata. Hubbl Technologies mapped it in under two weeks and saved 300 hours. Turn the lights on at #DF26. Book your readout: https://lnkd.in/ey5sgeBE #ad",https://www.linkedin.com/posts/salesforceevents_df26-ad-activity-7503067173817470977-v6SL
2026-09-08,Philip Schweizer,"The B2B add-on for SFMC, Braze, Iterable & Co.",person,no,4,0,0,4,"Philip Schweizer, of a B2B add-on tool for SFMC/Braze/Iterable, says he'll attend Dreamforce26, meeting people at the Salesforce Claudeforce demo booth and networking parties.","#Dreamforce26 is getting closer, I look forward to meeting all the trailblazers out there and get the latest ""straight from the floor"". Meet me at the Salesforce #Claudeforce demo booth, networking parties and wherever the flow takes me. ^^",https://www.linkedin.com/posts/philipschweizer_dreamforce26-claudeforce-activity-7503071503375134721-EWwZ
2026-09-08,Sanjeet Mahajan,"AI Strategy, Agentic AI & Enterprise Implementation| Helping CXOs Unlock Growth with Data & AI | Founder & CEO at Kizzy Consulting",person,no,14,0,3,17,"Kizzy Consulting's Sanjeet Mahajan recaps August: a Salesforce Developers Agentblazer Spotlight feature, 600+ hours saved for a real estate client, a new AI Pod Service, and Dreamforce 2026 ahead.","Featured in the Salesforce Developers Agentblazer Spotlight. 
600+ hours saved for a real estate client. A new AI Pod Service launched. And Dreamforce 2026 on the horizon. 

Our August recap, in one post.

#Dreamforce2026 #Salesforce #SalesforceOhana #AI #KizzyConsulting",https://www.linkedin.com/posts/sanjeet-mahajan-9707689a_dreamforce2026-salesforce-salesforceohana-activity-7503078438312910848-R_4c
